günler,hava durumu
0,,38
1,Sali,18
2,Carsamba,23
3,Persembe,23
4,Cuma,17
5,Cumartesi,14
6,Pazar,27
7,,30
8,Sali,22
9,Carsamba,20
10,Persembe,19
11,Cuma,16
12,Cumartesi,7
13,Pazar,24
14,,11
15,Sali,24
16,Carsamba,0
17,Persembe,9
18,Cuma,37
19,Cumartesi,21
20,Pazar,12
21,,1
22,Sali,30
23,Carsamba,14
24,Persembe,16
25,Cuma,13
26,Cumartesi,23
27,Pazar,18
28,,17
29,Sali,23
30,Carsamba,20
31,Persembe,27
32,Cuma,30
33,Cumartesi,18
34,Pazar,31
35,,26
36,Sali,24
37,Carsamba,28
38,Persembe,26
39,Cuma,32
40,Cumartesi,33
41,Pazar,24
42,,4
43,Sali,29
44,Carsamba,10
45,Persembe,37
46,Cuma,34
47,Cumartesi,0
48,Pazar,33
49,,7
50,Sali,15
51,Carsamba,1
52,Persembe,3
53,Cuma,25
54,Cumartesi,24
55,Pazar,6
56,,22
57,Sali,1
58,Carsamba,18
59,Persembe,38
60,Cuma,31
61,Cumartesi,15
62,Pazar,19
63,,5
64,Sali,24
65,Carsamba,22
66,Persembe,39
67,Cuma,22
68,Cumartesi,38
69,Pazar,16
70,,26
71,Sali,25
72,Carsamba,19
73,Persembe,10
74,Cuma,21
75,Cumartesi,8
76,Pazar,19
77,,9
78,Sali,19
79,Carsamba,29
80,Persembe,29
81,Cuma,30
82,Cumartesi,29
83,Pazar,15
84,,22
85,Sali,36
86,Carsamba,27
87,Persembe,29
88,Cuma,17
89,Cumartesi,32
90,Pazar,30
91,,22
92,Sali,16
93,Carsamba,10
94,Persembe,13
95,Cuma,10
96,Cumartesi,18
97,Pazar,30
98,,18
99,Sali,28
