Kategori: Tüm kategoriler

Hafta,recep tayyip erdoğan: (Türkiye),kemal kılıçdaroğlu: (Türkiye)
2021-09-05,32,6
2021-09-12,23,5
2021-09-19,26,6
2021-09-26,22,5
2021-10-03,25,7
2021-10-10,24,7
2021-10-17,25,9
2021-10-24,23,6
2021-10-31,100,9
2021-11-07,25,8
2021-11-14,28,11
2021-11-21,31,8
2021-11-28,30,14
2021-12-05,26,24
2021-12-12,29,12
2021-12-19,39,9
2021-12-26,26,11
2022-01-02,27,11
2022-01-09,23,11
2022-01-16,20,7
2022-01-23,25,14
2022-01-30,48,20
2022-02-06,40,12
2022-02-13,25,9
2022-02-20,36,9
2022-02-27,23,7
2022-03-06,24,7
2022-03-13,29,6
2022-03-20,24,7
2022-03-27,23,7
2022-04-03,17,6
2022-04-10,21,7
2022-04-17,21,13
2022-04-24,25,10
2022-05-01,24,8
2022-05-08,23,8
2022-05-15,25,8
2022-05-22,24,32
2022-05-29,34,11
2022-06-05,36,9
2022-06-12,24,10
2022-06-19,23,8
2022-06-26,34,8
2022-07-03,22,7
2022-07-10,29,7
2022-07-17,27,6
2022-07-24,28,17
2022-07-31,25,9
2022-08-07,26,8
2022-08-14,27,6
2022-08-21,26,10
